,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
576,4.0,3.0,220.0,256.0,3150000000
577,2.0,2.0,55.0,68.0,630000000
578,3.0,2.0,108.0,90.0,1250000000
579,2.0,1.0,38.0,60.0,595000000
581,3.0,2.0,80.0,89.0,1050000000
582,3.0,2.0,100.0,120.0,1300000000
583,6.0,3.0,450.0,400.0,3000000000
584,2.0,1.0,52.0,72.0,850000000
585,7.0,6.0,314.0,239.0,3500000000
586,4.0,2.0,120.0,84.0,695000000
587,4.0,2.0,160.0,86.0,930000000
588,2.0,2.0,72.0,50.0,980000000
589,4.0,4.0,258.0,158.0,2000000000
590,3.0,1.0,210.0,157.0,2000000000
591,3.0,2.0,80.0,89.0,1100000000
592,3.0,3.0,88.0,90.0,1400000000
593,3.0,2.0,80.0,189.0,1499000000
594,2.0,2.0,60.0,73.0,674900000
596,2.0,2.0,57.0,72.0,675000000
597,2.0,2.0,60.0,72.0,675000000
598,5.0,4.0,300.0,279.0,2500000000
599,3.0,3.0,94.0,108.0,1300000000
600,3.0,3.0,92.0,108.0,1300000000
601,3.0,1.0,124.0,91.0,930000000
602,5.0,4.0,200.0,134.0,1300000000
603,3.0,1.0,75.0,124.0,925000000
604,5.0,4.0,173.0,133.0,1850000000
605,6.0,4.0,200.0,200.0,2200000000
606,3.0,3.0,99.0,106.0,1290000000
607,2.0,1.0,48.0,90.0,542000000
609,4.0,4.0,144.0,96.0,1100000000
610,4.0,4.0,225.0,135.0,2500000000
611,4.0,4.0,254.0,158.0,2000000000
612,3.0,2.0,90.0,104.0,845000000
613,2.0,2.0,50.0,60.0,479000000
614,4.0,1.0,95.0,90.0,625000000
615,3.0,2.0,100.0,108.0,1100000000
616,3.0,3.0,105.0,70.0,1295000000
617,2.0,2.0,134.0,196.0,1508000000
618,3.0,2.0,50.0,68.0,633000000
619,3.0,1.0,89.0,129.0,975000000
620,2.0,2.0,53.0,88.0,884000000
622,2.0,2.0,100.0,126.0,1100000000
623,2.0,1.0,40.0,72.0,675000000
624,3.0,2.0,65.0,60.0,850999000
625,4.0,2.0,100.0,98.0,1100000000
626,2.0,1.0,36.0,103.0,599500000
627,4.0,3.0,212.0,256.0,3500000000
628,3.0,2.0,100.0,140.0,1300000000
629,3.0,2.0,60.0,90.0,702000000
630,2.0,1.0,42.0,90.0,540000000
631,5.0,3.0,250.0,199.0,2800000000
632,3.0,2.0,112.0,118.0,970000000
633,4.0,2.0,101.0,99.0,995000000
634,2.0,1.0,95.0,105.0,820000000
635,7.0,3.0,120.0,60.0,900000000
636,3.0,3.0,200.0,180.0,3000000000
637,3.0,2.0,135.0,96.0,1100000000
639,4.0,2.0,108.0,98.0,1100000000
640,3.0,3.0,120.0,144.0,2400000000
641,3.0,3.0,100.0,144.0,2100000000
642,5.0,4.0,200.0,135.0,1250000000
643,4.0,2.0,110.0,90.0,1100000000
644,4.0,3.0,200.0,230.0,2400000000
645,2.0,2.0,61.0,63.0,750059860
646,2.0,1.0,120.0,72.0,449000000
647,6.0,4.0,220.0,140.0,1550000000
648,4.0,3.0,303.0,131.0,750000000
649,3.0,3.0,93.0,106.0,1290000000
650,2.0,2.0,61.0,62.0,770058000
651,4.0,4.0,253.0,158.0,2000000000
652,3.0,3.0,105.0,107.0,1300000000
653,2.0,1.0,37.0,90.0,542000000
654,2.0,1.0,60.0,120.0,1250000000
656,3.0,2.0,80.0,84.0,1350000000
657,3.0,1.0,111.0,72.0,465000000
658,3.0,3.0,133.0,100.0,1350000000
659,2.0,2.0,100.0,140.0,1300000000
660,5.0,3.0,215.0,187.0,1450000000
661,4.0,3.0,100.0,140.0,895000000
662,4.0,3.0,100.0,140.0,900000000
664,4.0,2.0,100.0,98.0,1100000000
665,4.0,4.0,250.0,157.0,2000000000
666,3.0,1.0,104.0,98.0,850000000
667,4.0,2.0,105.0,98.0,990000000
668,4.0,2.0,100.0,98.0,1100000000
